,DOY,Hour,Incoming_PAR_Wm2,temperature,VPD,wind_speed,precipitation,time
283,134,12,168.1111765,23.91666667,1.854289636,0.85,0,134.5
284,134,13,93.21426471,23.16666667,1.589883452,0.85,0,134.5416667
285,134,14,103.8249265,22.91666667,1.642531939,0.85,0,134.5833333
286,134,15,73.85020588,22.41666667,1.314237992,0.85,0,134.625
287,134,16,30.44222794,21.75,1.120720539,0.85,0,134.6666667
288,134,17,31.54477941,21.66666667,1.124081652,0.85,5,134.7083333
289,134,18,46.44757353,21.91666667,1.206951117,0.85,0,134.75
290,134,19,25.90277941,23.16666667,1.518481123,0.85,0,134.7916667
291,134,20,10.96328676,23.66666667,1.61351518,0.85,0,134.8333333
292,134,21,0.006222794,23.83333333,1.656960184,0.85,0,134.875
293,134,22,0.003510294,24,1.691118794,0.85,0,134.9166667
294,134,23,0.001436029,23.75,1.658573533,0.85,0,134.9583333
295,135,0,0.003510294,23.83333333,1.666935751,0.85,0,135
296,135,1,0.002872059,24,1.701095896,0.85,0,135.0416667
297,135,2,0.003829412,23.91666667,1.752123885,0.85,0,135.0833333
298,135,3,0.002872059,24.08333333,1.855027568,0.85,0,135.125
299,135,4,0.004467647,23.83333333,1.852041934,0.85,0,135.1666667
300,135,5,0.173919118,24.08333333,1.875107296,0.85,0,135.2083333
301,135,6,12.41846324,24.41666667,1.882406648,0.85,0,135.25
302,135,7,22.18665441,24.08333333,1.568119465,0.85,0,135.2916667
303,135,8,31.61817647,23.91666667,1.355199391,0.85,0,135.3333333
304,135,9,91.34742647,25.16666667,1.784797584,0.85,0,135.375
305,135,10,139.1672059,28.91666667,2.713321428,0.85,0,135.4166667
306,135,11,191.4705882,24.16666667,1.890626451,0.85,0,135.4583333
307,135,12,78.47102941,23.75,1.648942669,0.85,0,135.5
308,135,13,84.93316176,21.91666667,1.374986286,0.85,0,135.5416667
309,135,14,13.19072794,22.83333333,1.385925023,0.85,0,135.5833333
310,135,15,69.10333088,24.58333333,1.921584918,0.85,0,135.625
311,135,16,144.9272794,24.25,1.840985125,0.85,0,135.6666667
312,135,17,115.7758824,23.75,1.683637546,0.85,5,135.7083333
313,135,18,67.32105882,22.58333333,1.536501897,0.85,0,135.75
314,135,19,25.11934559,21.41666667,1.284670675,0.85,0,135.7916667
315,135,20,9.987265441,21.66666667,1.323452057,0.85,0,135.8333333
316,135,21,0.009573529,23.5,1.645804934,0.85,0,135.875
317,135,22,0.003191176,23.66666667,1.659964859,0.85,0,135.9166667
318,135,23,0.003191176,23.83333333,1.701657386,0.85,0,135.9583333
319,136,0,0.002552941,23.91666667,1.75708755,0.85,0,136
320,136,1,0.002233824,23.66666667,1.750419498,0.85,0,136.0416667
321,136,2,0.002074265,23.66666667,1.782254805,0.85,0,136.0833333
322,136,3,0.002393382,23.58333333,1.829210302,0.85,0,136.125
323,136,4,0.001436029,23.66666667,1.845763577,0.85,0,136.1666667
324,136,5,0.154772059,24,1.91560359,0.85,0,136.2083333
325,136,6,11.65736765,24,1.873200906,0.85,0,136.25
326,136,7,19.07525735,24.16666667,1.295087024,0.85,0,136.2916667
327,136,8,27.36114706,23.58333333,1.168263316,0.85,0,136.3333333
328,136,9,74.21080882,25.58333333,1.768604794,0.85,0,136.375
329,136,10,130.7744118,33.08333333,3.663455232,0.85,0,136.4166667
330,136,11,191.4705882,34.91666667,4.062544597,0.85,0,136.4583333
331,136,12,191.4705882,32,3.423534272,0.85,0,136.5
332,136,13,191.4705882,25.25,1.980769022,0.85,0,136.5416667
333,136,14,67.47263971,27.83333333,2.44423856,0.85,0,136.5833333
334,136,15,191.4705882,27.16666667,2.362972552,0.85,0,136.625
335,136,16,79.11724265,23.66666667,1.681394293,0.85,0,136.6666667
336,136,17,46.40608824,23.5,1.694504557,0.85,5,136.7083333
337,136,18,77.16743382,22.66666667,1.521259379,0.85,0,136.75
338,136,19,22.48981618,21.5,1.327359517,0.85,0,136.7916667
339,136,20,11.148375,21,1.265630912,0.85,0,136.8333333
340,136,21,0.024252941,22.08333333,1.4036725,0.85,0,136.875
341,136,22,0.011488235,22.08333333,1.363704862,0.85,0,136.9166667
342,136,23,0.008775735,22,1.347864811,0.85,0,136.9583333
343,137,0,0.008775735,22,1.303672522,0.85,0,137
344,137,1,0.007977941,22,1.277157149,0.85,0,137.0416667
345,137,2,0.007977941,22,1.288205221,0.85,0,137.0833333
346,137,3,0.008616176,22.08333333,1.3059161,0.85,0,137.125
347,137,4,0.006701471,22.16666667,1.341552338,0.85,0,137.1666667
348,137,5,0.173440441,22.25,1.388909912,0.85,0,137.2083333
349,137,6,12.73758088,22.25,1.380049473,0.85,0,137.25
350,137,7,20.13632353,20.91666667,0.870344922,0.85,0,137.2916667
351,137,8,28.25786765,22,1.094865463,0.85,0,137.3333333
352,137,9,72.06155147,25.66666667,1.920329785,0.85,0,137.375
353,137,10,131.1413971,31.75,3.421766521,0.85,0,137.4166667
354,137,11,191.4705882,33.33333333,3.848522475,0.85,0,137.4583333
355,137,12,191.4705882,33.5,3.866427326,0.85,0,137.5
356,137,13,191.4705882,27.16666667,2.393447752,0.85,0,137.5416667
357,137,14,191.4705882,27.41666667,2.483548981,0.85,0,137.5833333
358,137,15,186.8752941,26.58333333,2.332398289,0.85,0,137.625
359,137,16,151.4691912,22.41666667,1.563809351,0.85,0,137.6666667
360,137,17,83.59286765,22,1.516448711,0.85,5,137.7083333
361,137,18,51.55983824,22.5,1.358058858,0.85,0,137.75
362,137,19,19.55552941,21.66666667,1.325688002,0.85,0,137.7916667
363,137,20,11.41643382,20.5,1.248238093,0.85,0,137.8333333
364,137,21,0.462880147,20.5,1.336340682,0.85,0,137.875
365,137,22,0.019466176,20.83333333,1.369980857,0.85,0,137.9166667
366,137,23,0.01085,20.83333333,1.392608169,0.85,0,137.9583333
367,138,0,0.014838971,21.08333333,1.407952384,0.85,10,138
368,138,1,0.012924265,21.08333333,1.397518337,0.85,10,138.0416667
369,138,2,0.011488235,21.08333333,1.374657633,0.85,10,138.0833333
370,138,3,0.011488235,21.16666667,1.394170532,0.85,10,138.125
371,138,4,0.006541912,20.91666667,1.34190707,0.85,10,138.1666667
372,138,5,0.187002941,22.66666667,1.622428614,0.85,10,138.2083333
373,138,6,13.00404412,23.66666667,1.716888825,0.85,10,138.25
374,138,7,19.63211765,23.16666667,1.262127136,0.85,10,138.2916667
375,138,8,25.84214706,23.16666667,1.345401049,0.85,10,138.3333333
376,138,9,53.76653676,26.75,2.386206053,0.85,10,138.375
377,138,10,131.8434559,35.58333333,4.435789381,0.85,10,138.4166667
378,138,11,191.4705882,33.75,4.029733363,0.85,10,138.4583333
379,138,12,191.4705882,33.5,3.97709778,0.85,10,138.5
380,138,13,191.4705882,27.58333333,2.506026428,0.85,10,138.5416667
381,138,14,158.7929412,26.25,2.259302891,0.85,10,138.5833333
382,138,15,106.6491176,26.16666667,2.205682213,0.85,10,138.625
383,138,16,161.9681618,23.16666667,1.681050655,0.85,10,138.6666667
384,138,17,54.67283088,23.41666667,1.753178796,0.85,10,138.7083333
385,138,18,62.79597059,23,1.756138113,0.85,10,138.75
386,138,19,26.79790441,21.91666667,1.551807292,0.85,10,138.7916667
387,138,20,11.85841176,20.75,1.265178044,0.85,10,138.8333333
388,138,21,0.020583088,22.91666667,1.654939721,0.85,10,138.875
389,138,22,0.008616176,23.08333333,1.690117265,0.85,10,138.9166667
390,138,23,0.004467647,23.16666667,1.688841966,0.85,10,138.9583333
391,139,0,0.006701471,23.5,1.704039967,0.85,10,139
392,139,1,0.004786765,23.5,1.689345725,0.85,10,139.0416667
393,139,2,0.002393382,23.5,1.713548386,0.85,10,139.0833333
394,139,3,0.002872059,23.5,1.728069983,0.85,10,139.125
395,139,4,0.003031618,23.91666667,1.801636102,0.85,10,139.1666667
396,139,5,0.163547794,23.83333333,1.770803323,0.85,10,139.2083333
397,139,6,13.17158088,24.16666667,1.634409008,0.85,10,139.25
398,139,7,30.17416912,23.08333333,1.175286187,0.85,10,139.2916667
399,139,8,53.45061029,23.58333333,1.199141448,0.85,10,139.3333333
400,139,9,74.03529412,25.25,1.862564025,0.85,10,139.375
401,139,10,139.8533088,31.58333333,3.353024521,0.85,10,139.4166667
402,139,11,191.4705882,23.25,1.705765033,0.85,10,139.4583333
403,139,12,48.83936029,23.33333333,1.542288519,0.85,10,139.5
404,139,13,57.09493382,23.58333333,1.541034906,0.85,10,139.5416667
405,139,14,80.37456618,23.66666667,1.382245996,0.85,10,139.5833333
406,139,15,95.49116912,24.25,1.637521033,0.85,10,139.625
407,139,16,134.5080882,24.5,1.707828948,0.85,10,139.6666667
